x	kde	cdf
-4	0.00008293607520754036	0.000008664273264152333
-3.99	0.00009000123674490963	0.000009528577969605041
-3.98	0.00009753379432382617	0.000010465856019156884
-3.97	0.00010555188119387379	0.000011480872331729722
-3.96	0.00011407322819266232	0.000012578571233142411
-3.95	0.00012311505883920974	0.00001376407190928313
-3.94	0.00013269398268996813	0.000015042662800764355
-3.93	0.0001428258879182297	0.00001641979492641878
-3.92	0.00015352583415902173	0.00001790107413301691
-3.91	0.00016480794673588828	0.000019492252279383062
-3.9	0.00017668531345173535	0.000021199217374590463
-3.89	0.00018916988518149052	0.000023027982702021118
-3.88	0.00020227238154836192	0.000024984674973688314
-3.87	0.0002160022029963705	0.00002707552157219878
-3.86	0.00023036735058844333	0.000029306836950958435
-3.85	0.00024537435486028696	0.0000316850082765325
-3.84	0.0002610282150446761	0.000034216480410312855
-3.83	0.00027733234994765335	0.000036907740339637086
-3.82	0.0002942885617069819	0.00003976530118108359
-3.81	0.0003118970135934474	0.00004279568589063021
-3.8	0.0003301562229272958	0.000046005410826551656
-3.79	0.0003490630700752115	0.00004940096932112699
-3.78	0.00036861282436834246	0.00005298881542628029
-3.77	0.0003887991876395723	0.000056775348005977555
-3.76	0.0004096143559197356	0.000060766895354413834
-3.75	0.0004310490996588936	0.00006496970052355599
-3.74	0.00045309286265206723	0.00006938990754635448
-3.73	0.0004757338796506477	0.00007403354874274004
-3.72	0.0004989593124335235	0.00007890653329430972
-3.71	0.0005227554038980989	0.00008401463727028228
-3.7	0.0005471076495136164	0.00008936349528181101
-3.69	0.0005720009852604967	0.00009495859393408557
-3.68	0.0005974199909626313	0.00010080526723578696
-3.67	0.000623349107708144	0.00010690869411348646
-3.66	0.00064977286785105	0.00011327389816448849
-3.65	0.0006766761358948949	0.00011990574976559847
-3.64	0.0007040443583829179	0.0001268089706373858
-3.63	0.0007318638207607834	0.0001339881409439716
-3.62	0.0007601219090401559	0.00014144770898730368
-3.61	0.0007888073739774076	0.00014919200353259688
-3.6	0.0008179105953935252	0.0001572252487782638
-3.59	0.0008474238442014974	0.00016555158195963744
-3.58	0.0008773415396772125	0.0001741750735512347
-3.57	0.0009076604995111213	0.00018309975000768138
-3.56	0.0009383801802108878	0.00019232961895890893
-3.55	0.0009695029054908605	0.00020186869675124742
-3.54	0.001001034080381748	0.0002117210382028511
-3.53	0.001032982388923152	0.00022189076841986052
-3.52	0.0010653599734609747	0.00023238211649907845
-3.51	0.001098182593759698	0.00024319945092411338
-3.5	0.0011314697643534358	0.0002543473164450444
-3.49	0.0011652448687971704	0.0002658304722171182
-3.48	0.0011995352497367947	0.0002776539309618393
-3.47	0.0012343722739903934	0.00028982299890436614
-3.46	0.0012697913721189812	0.0003023433162344929
-3.45	0.0013058320522585894	0.0003152208978346984
-3.44	0.0013425378882824443	0.0003284621740179972
-3.43	0.0013799564826570358	0.00034207403102044743
-3.42	0.0014181394046446365	0.00035606385099829673
-3.41	0.0014571421047818646	0.0003704395512876461
-3.4	0.001497023806825156	0.0003852096226951344
-3.39	0.0015378473785942546	0.0004003831666012845
-3.38	0.001579679183360382	0.0004159699306735561
-3.37	0.0016225889136123838	0.00043198034300356077
-3.36	0.0016666494091887656	0.00044842554450207355
-3.35	0.001711936461882967	0.0004653174194059171
-3.34	0.00175852860871184	0.00048266862377238065
-3.33	0.0018065069160809182	0.0005004926118589278
-3.32	0.0018559547570846861	0.0005188036603083791
-3.31	0.0019069575841449775	0.000537616890081976
-3.3	0.0019596026991175754	0.000556948286104445
-3.29	0.002013979022886503	0.0005768147146059147
-3.28	0.0020701768663214737	0.0005972339381651232
-3.27	0.002128287704297813	0.0006182246284761608
-3.26	0.002188403954275683	0.0006398063768770639
-3.25	0.0022506187607098534	0.000661999702692378
-3.24	0.002315025786318473	0.0006848260594533753
-3.23	0.0023817190109849855	0.0007083078390685852
-3.22	0.002450792538806945	0.0007324683740237438
-3.21	0.0025223404135465022	0.0007573319376941675
-3.2	0.002596456442484782	0.0007829237428537115
-3.19	0.0026732340284440987	0.0008092699384634406
-3.18	0.0027527660095230085	0.0008363976048195115
-3.17	0.002835144505896894	0.0008643347471343834
-3.16	0.0029204607728752613	0.0008931102876180196
-3.15	0.0030088050592824507	0.0009227540561171156
-3.14	0.0031002664701446528	0.0009532967793605306
-3.13	0.003194932832626678	0.0009847700688487295
-3.12	0.0032928905641689513	0.0010172064074144237
-3.11	0.0033942245418314997	0.0010506391344714712
-3.1	0.0034990179719557647	0.0010851024299594083
-3.09	0.0036073522594082066	0.0011206312969831273
-3.08	0.0037193068758687295	0.0011572615431404893
-3.07	0.003834959226869531	0.0011950297605267755
-3.06	0.003954384517571878	0.0012339733044030533
-3.05	0.004077655617584222	0.0012741302705171504
-3.04	0.004204842925469644	0.0013155394710705432
-3.03	0.0043360142339549405	0.0013582404093328755
-3.02	0.0044712345972327885	0.0014022732529176277
-3.01	0.004610566202131038	0.0014476788057486163
-3	0.004754068245302628	0.0014944984787662481
-2.99	0.004901796818955821	0.001542774259446167
-2.98	0.005053804807987504	0.001592548680229709
-2.97	0.0052101418016957885	0.0016438647859957764
-2.96	0.005370854023519321	0.0016967661007370593
-2.95	0.005535984282474718	0.0017512965936389321
-2.94	0.005705571950131763	0.0018075006447972233
-2.93	0.005879652967069728	0.0018654230108497846
-2.92	0.006058259882795771	0.0019251087908366497
-2.91	0.006241421933068327	0.001986603392643133
-2.9	0.0064291651584564525	0.0020499525004192354
-2.89	0.006621512567773687	0.002115202043406044
-2.88	0.0068184843497553	0.0021823981666350962
