x	kde	cdf
-4	0	0
-3.99	0	0
-3.98	0	0
-3.97	0	0
-3.96	0	0
-3.95	0	0
-3.94	0	0
-3.93	0	0
-3.92	0	0
-3.91	0	0
-3.9	0	0
-3.89	0	0
-3.88	0	0
-3.87	0	0
-3.86	0	0
-3.85	0	0
-3.84	0	0
-3.83	0	0
-3.82	0	0
-3.81	0	0
-3.8	0.000021205612110109247	0.00000007827655590065895
-3.79	0.00004905567699058674	0.00000043055956390413114
-3.78	0.0000757338668710655	0.0000010554838457124064
-3.77	0.00010124018175154306	0.0000019413306513254325
-3.76	0.00012557462163202175	0.0000030763812307432856
-3.75	0.00014873718651249937	0.000004448916833965859
-3.74	0.000170727876392977	0.0000060472187109932094
-3.73	0.00019154669127345564	0.000007859568111825413
-3.72	0.0002156741075956807	0.000009877686432605622
-3.71	0.0002626803393669691	0.000012271411792418935
-3.7	0.0003073428211382554	0.000015123480719944995
-3.69	0.00034966155290954375	0.000018410455715184063
-3.68	0.0003896365346808301	0.000022108899278135857
-3.67	0.0004272677664521184	0.000026195373908800693
-3.66	0.0004680686784812975	0.000030651656275672236
-3.65	0.0005295019741687044	0.000035642439226422365
-3.64	0.0005874196448561086	0.00004122997700904631
-3.63	0.0006418216905435153	0.00004737911337354457
-3.62	0.0006927081112309197	0.00005405469206991661
-3.61	0.0007400789069183262	0.000061221556848163
-3.6	0.0007839340776057307	0.00006884455145828312
-3.59	0.0008298771840334017	0.00007689390613609771
-3.58	0.0008951870357414329	0.0000855231334849717
-3.57	0.0009558093874494668	0.00009478202185092641
-3.56	0.0010117442391574982	0.00010462369623396103
-3.55	0.001062991590865532	0.0001150012816340764
-3.54	0.0011095514425735634	0.00012586790305127167
-3.53	0.0011514237942815968	0.00013717668548554772
-3.52	0.0011886086459896286	0.00014888075393690357
-3.51	0.001221105997697662	0.00016093323340534032
-3.5	0.0012489158494056937	0.00017328724889085681
-3.49	0.00129577811045478	0.00018599426792277526
-3.48	0.0013419583937128174	0.00019918783325611355
-3.47	0.0013822793019708534	0.00021281390454703163
-3.46	0.001416740835228891	0.00022681388804553066
-3.45	0.001445342993486927	0.00024112919000160947
-3.44	0.001468085776744964	0.0002557012166652693
-3.43	0.0014849691850030006	0.00027047137428650873
-3.42	0.0014959932182610376	0.00028538106911532926
-3.41	0.001501157876519074	0.0003003717074017295
-3.4	0.0015004631597771104	0.0003153846953957108
-3.39	0.0014939090680351475	0.00033036143934727177
-3.38	0.0014829144090135497	0.0003452436895056793
-3.37	0.0014932956973872913	0.0003601305994126831
-3.36	0.0014966457357610337	0.00037508616595342516
-3.35	0.0014929645241347753	0.0003900400766279039
-3.34	0.001482252062508517	0.00040492201893612073
-3.33	0.0014645083508822597	0.0004196616803780743
-3.32	0.0014621657600521496	0.0004342764464103513
-3.31	0.0014581590123800222	0.0004488849062100119
-3.3	0.0014677871585738796	0.0004634921080410202
-3.29	0.0014781178460212736	0.00047822749243899563
-3.28	0.0014814172834686679	0.0004930310274614458
-3.27	0.0014977931444651637	0.0005079027077357142
-3.26	0.00151492535795561	0.0005229731361853184
-3.25	0.001523994177286814	0.0005381738744774671
-3.24	0.001553425488510373	0.0005535687853064527
-3.23	0.0015734817997339326	0.0005692111342476746
-3.22	0.0016394986358911504	0.0005852376479854816
-3.21	0.00172621954517718	0.0006020750279533237
-3.2	0.001802393579463206	0.0006197268826390253
-3.19	0.0018680207387492351	0.0006380877432925879
-3.18	0.0019231010230352616	0.0006570521411640098
-3.17	0.00196763443232129	0.0006765146075032931
-3.16	0.0020102644972419736	0.0006963765463895103
-3.15	0.0021121209812722808	0.0007169662706994224
-3.14	0.002227685953573903	0.000738617071182327
-3.13	0.0023722378066112068	0.000761628408733253
-3.12	0.0025027271596485046	0.000786014952314551
-3.11	0.0026207570670138372	0.000811636516144075
-3.1	0.0027517681650517933	0.0008385118376169026
-3.09	0.002873191651318134	0.0008666265123313196
-3.08	0.0030038418183354633	0.000896023398429587
-3.07	0.003120429485352798	0.000926656473698029
-3.06	0.0032229546523701276	0.000958385113136643
-3.05	0.0033114173193874606	0.0009910686917454317
-3.04	0.0033858174864047903	0.0010245665845243922
-3.03	0.003446155153422124	0.0010587381664735275
-3.02	0.0034924303204394553	0.0010934428125928346
-3.01	0.003562413780284952	0.001128629174909961
-3	0.0036651715459080497	0.0011647817499784254
-2.99	0.0037748865746898884	0.0012019745392532206
-2.98	0.003873336408762986	0.0012402293260454858
-2.97	0.003955379992836079	0.0012793865799284806
-2.96	0.004036191293089621	0.0013193027671662934
-2.95	0.004155169111478121	0.001360239417131573
-2.94	0.004270650696545463	0.0014023851177341919
-2.93	0.004390816120222002	0.0014456917592355117
-2.92	0.004520911037880012	0.0014902266813281598
-2.91	0.004670679675310141	0.0015361698214010273
-2.9	0.004831972662031907	0.0015836538955564953
-2.89	0.005013006408364401	0.0016328788498092522
-2.88	0.005215023815988779	0.0016840147012280083
-2.87	0.005444240885327533	0.001737310517009466
-2.86	0.005675725785970909	0.0017929197696531856
-2.85	0.005880388621558281	0.0018507257323158305
-2.84	0.0060816362069960024	0.0019104863101569835
-2.83	0.0063279748899591134	0.0019725257620993517
-2.82	0.006644724596076321	0.0020373420917726348
-2.81	0.006985797081648842	0.002105493171155486
-2.8	0.007305786548072058	0.0021769842924290925
-2.79	0.007631368902502879	0.0022516580557894895
-2.78	0.007927245847805879	0.0023294862857910345
-2.77	0.008203392081504439	0.002410134514520706
-2.76	0.0084783524177485	0.0024935607000101862
-2.75	0.008752476491103875	0.0025797151950383403
